HIGH,LOW,OPEN,CLOSE,DATE_TIME
-1.156342478,-1.157921698,-1.157995349,-1.1555824,2000.01.03 18:00:00
-1.130435078,-1.153703265,-1.154379979,-1.13147988,2000.01.03 18:15:00
-1.131640073,-1.1308032,-1.131482636,-1.130274754,2000.01.03 18:30:00
-1.109950156,-1.128392667,-1.130277513,-1.127864502,2000.01.03 18:45:00
-1.126820092,-1.132008467,-1.126662143,-1.130274754,2000.01.03 19:00:00
-1.131640073,-1.133213733,-1.130880075,-1.130877317,2000.01.03 19:15:00
-1.131037575,-1.133213733,-1.131482636,-1.136300384,2000.01.03 19:30:00
-1.123205106,-1.134419,-1.136905691,-1.120031182,2000.01.03 19:45:00
-1.119590119,-1.119955801,-1.120033965,-1.116415804,2000.01.03 20:00:00
-1.112360147,-1.116942634,-1.116418595,-1.110390174,2000.01.03 20:15:00
-1.090067733,-1.105492602,-1.108585294,-1.089300468,2000.01.03 20:30:00
-1.087055245,-1.08861887,-1.087495636,-1.08568509,2000.01.03 20:45:00
-1.08826024,-1.091029403,-1.086893075,-1.093518409,2000.01.03 21:00:00
-1.095490212,-1.094042569,-1.094123814,-1.095326099,2000.01.03 21:15:00
-1.091272728,-1.094042569,-1.097136623,-1.095928662,2000.01.03 21:30:00
-1.097900203,-1.097055736,-1.094726376,-1.097133788,2000.01.03 21:45:00
-1.093682719,-1.094042569,-1.096534061,-1.092313283,2000.01.03 22:00:00
-1.093080221,-1.094042569,-1.094123814,-1.097133788,2000.01.03 22:15:00
-1.099707696,-1.097055736,-1.096534061,-1.100146603,2000.01.03 22:30:00
-1.103322682,-1.103684702,-1.101354554,-1.104967107,2000.01.03 22:45:00
-1.107540166,-1.101876802,-1.104367362,-1.104364544,2000.01.03 23:00:00
-1.105732673,-1.102479435,-1.104969924,-1.104364544,2000.01.03 23:15:00
-1.105732673,-1.103684702,-1.102559678,-1.106172233,2000.01.03 23:30:00
-1.105732673,-1.104889969,-1.105572486,-1.103159418,2000.01.03 23:45:00
-1.103322682,-1.104287335,-1.104969924,-1.100146603,2000.01.04 00:00:00
-1.106937668,-1.105492602,-1.104969924,-1.107979922,2000.01.04 00:15:00
-1.109347659,-1.106095235,-1.109187856,-1.108582485,2000.01.04 00:30:00
-1.109950156,-1.107903135,-1.109187856,-1.108582485,2000.01.04 00:45:00
-1.10633517,-1.107300502,-1.108585294,-1.104364544,2000.01.04 01:00:00
-1.10392518,-1.105492602,-1.104969924,-1.104364544,2000.01.04 01:15:00
-1.097900203,-1.101876802,-1.103764801,-1.095326099,2000.01.04 01:30:00
-1.094285217,-1.094645203,-1.097739184,-1.093518409,2000.01.04 01:45:00
-1.096695207,-1.097055736,-1.094726376,-1.095928662,2000.01.04 02:00:00
-1.097297705,-1.097658369,-1.095931499,-1.098338914,2000.01.04 02:15:00
-1.097900203,-1.097055736,-1.097136623,-1.097736351,2000.01.04 02:30:00
-1.100912691,-1.100068902,-1.097739184,-1.101351729,2000.01.04 02:45:00
-1.100912691,-1.100671536,-1.100149431,-1.103159418,2000.01.04 03:00:00
-1.100310194,-1.102479435,-1.103162239,-1.103159418,2000.01.04 03:30:00
-1.105130175,-1.104889969,-1.103764801,-1.106172233,2000.01.04 03:45:00
-1.102117687,-1.104287335,-1.107380171,-1.100749166,2000.01.04 04:00:00
-1.102720184,-1.100671536,-1.103764801,-1.09954404,2000.01.04 04:15:00
-1.102720184,-1.103684702,-1.099546869,-1.103761981,2000.01.04 04:30:00
-1.102720184,-1.101876802,-1.101957116,-1.100749166,2000.01.04 04:45:00
-1.102117687,-1.101876802,-1.100751993,-1.104967107,2000.01.04 05:00:00
-1.10392518,-1.103082069,-1.104969924,-1.106172233,2000.01.04 05:15:00
-1.10392518,-1.104889969,-1.104969924,-1.100749166,2000.01.04 05:30:00
-1.103322682,-1.102479435,-1.100751993,-1.104967107,2000.01.04 05:45:00
-1.105130175,-1.101274169,-1.103162239,-1.103761981,2000.01.04 06:00:00
-1.100912691,-1.101876802,-1.103764801,-1.100146603,2000.01.04 06:15:00
-1.094285217,-1.097055736,-1.099546869,-1.095928662,2000.01.04 06:30:00
-1.100912691,-1.101274169,-1.097739184,-1.103761981,2000.01.04 06:45:00
-1.100912691,-1.101876802,-1.103764801,-1.101351729,2000.01.04 07:00:00
-1.10392518,-1.102479435,-1.102559678,-1.102556855,2000.01.04 07:15:00
-1.100912691,-1.108505768,-1.101354554,-1.104967107,2000.01.04 07:30:00
-1.108142663,-1.111518935,-1.105572486,-1.106172233,2000.01.04 07:45:00
-1.108745161,-1.116340001,-1.110392979,-1.114608115,2000.01.04 08:00:00
-1.113565143,-1.114532101,-1.11461091,-1.117018367,2000.01.04 08:15:00
-1.115372636,-1.119955801,-1.115816034,-1.118826056,2000.01.04 08:30:00
-1.105130175,-1.117545268,-1.120033965,-1.106172233,2000.01.04 08:45:00
-1.090670231,-1.106697868,-1.106777609,-1.095326099,2000.01.04 09:00:00
-1.093682719,-1.101876802,-1.092918691,-1.100749166,2000.01.04 09:15:00
-1.099707696,-1.100068902,-1.100751993,-1.101351729,2000.01.04 09:30:00
-1.103322682,-1.102479435,-1.102559678,-1.102556855,2000.01.04 09:45:00
-1.100912691,-1.109711035,-1.102559678,-1.109787611,2000.01.04 10:00:00
-1.108745161,-1.116942634,-1.110995541,-1.118223493,2000.01.04 10:15:00
-1.115372636,-1.115737368,-1.117021157,-1.113402989,2000.01.04 10:30:00
-1.112360147,-1.113326835,-1.114008349,-1.114005552,2000.01.04 10:45:00
-1.109950156,-1.112724201,-1.113405787,-1.112800426,2000.01.04 11:00:00
-1.109347659,-1.110916301,-1.113405787,-1.108582485,2000.01.04 11:15:00
-1.096695207,-1.106697868,-1.107982732,-1.093518409,2000.01.04 11:30:00
-1.086452747,-1.092837303,-1.094123814,-1.085082527,2000.01.04 11:45:00
-1.085247751,-1.089221503,-1.086290513,-1.087492779,2000.01.04 12:00:00
-1.076812784,-1.089824136,-1.08870076,-1.076044082,2000.01.04 12:15:00
-1.052110379,-1.072950404,-1.073034157,-1.060377443,2000.01.04 12:30:00
-1.055725365,-1.060295105,-1.062188047,-1.056762065,2000.01.04 12:45:00
-1.057532858,-1.063308272,-1.054957308,-1.054954376,2000.01.04 13:00:00
-1.058737853,-1.053063506,-1.055559869,-1.056159502,2000.01.04 13:15:00
-1.053315374,-1.058487205,-1.051944499,-1.059172317,2000.01.04 13:45:00
-1.06235284,-1.066924071,-1.059175239,-1.0676082,2000.01.04 14:00:00
-1.067172821,-1.071142504,-1.068213664,-1.066403074,2000.01.04 14:15:00
-1.059942849,-1.065116172,-1.063995732,-1.066403074,2000.01.04 14:30:00
-1.063557835,-1.064513538,-1.065200856,-1.060980006,2000.01.04 14:45:00
-1.06235284,-1.071142504,-1.062188047,-1.0676082,2000.01.04 15:00:00
-1.060545346,-1.067526705,-1.068213664,-1.059172317,2000.01.04 15:15:00
-1.059942849,-1.060295105,-1.059175239,-1.060377443,2000.01.04 15:30:00
-1.055122867,-1.061500372,-1.062188047,-1.054954376,2000.01.04 15:45:00
-1.049700388,-1.062103005,-1.051944499,-1.060980006,2000.01.04 16:00:00
-1.06235284,-1.069334605,-1.061585486,-1.065800511,2000.01.04 16:15:00
-1.065967826,-1.068731971,-1.067611102,-1.068813326,2000.01.04 16:30:00
-1.061750342,-1.070539871,-1.067611102,-1.068813326,2000.01.04 16:45:00
-1.063557835,-1.069937238,-1.070021349,-1.062787696,2000.01.04 17:00:00
-1.062955337,-1.064513538,-1.060982924,-1.065800511,2000.01.04 17:15:00
-1.060545346,-1.062705638,-1.064598294,-1.065197948,2000.01.04 17:30:00
